gene_id,abundance
YDL011C,1.13
YOR331C,5.84
YLL047W,4.95
YHL045W,4.99
YER091C-A,4.39
YMR031W-A,4.73
YLL046C,5.47
YPR108W-A,0.384
YOR394W,5.03
YIL060W,5.04
YBR300C,5.35
YLR296W,4.57
YPR150W,5.21
YML132W,10.0
YMR082C,4.15
YIL020C-A,0.145
YCR064C,5.31
YGL102C,4.9
YEL030C-A,0.089
YLL020C,5.45
YMR306W,4.86
YBR093C,119.0
YGL034C,5.09
YHR213W,5.6
YNL018C,4.92
YBL065W,3.99
YIL066C,24.2
YKR103W,10.6
YBR136W,1.58
YNL203C,4.47
YMR057C,4.87
YKL102C,13.4
YPL130W,3.64
YDR220C,4.32
YJR159W,5.21
YLR112W,5.91
YBR238C,17.6
YCR022C,4.76
YDR325W,18.2
YGL258W,5.0
YNL334C,7.5
YLL040C,82.4
YLR272C,17.7
YOR298W,0.18
YDR340W,4.94
YML037C,15.9
YPL269W,6.18
YHL044W,5.23
YIL149C,31.0
YIL092W,6.89
YKL147C,4.97
YBL031W,11.0
YJL092W,21.8
YDL112W,59.6
YML060W,26.2
YKL202W,5.73
YLR422W,15.2
YOR199W,9.48
YDR448W,24.4
YHR215W,452.0
YBR007C,17.5
YDR437W,14.0
YML103C,84.8
YMR154C,5.35
YNL127W,16.0
YNR054C,58.8
YNL309W,16.8
YOR093C,3.48
YPR027C,4.48
YJR003C,48.5
YDR289C,31.6
YDR514C,9.13
YGL045W,17.2
YBR150C,11.8
YJL065C,22.1
YPR162C,33.9
YCL048W,0.325
YHR211W,0.297
YDR534C,0.061
YDL119C,16.9
YNL108C,54.8
YHR182W,8.5
YLL005C,4.69
YHL019C,14.5
YDR518W,14.4
YBL005W,8.33
YLR234W,489.0
YKL165C,19.6
YJL035C,12.4
YLR371W,13.3
YBL061C,29.7
YOL155C,4.9
YLR373C,30.4
YMR025W,5.13
YER041W,5.48
YBR254C,14.2
YDR042C,5.6
YGL144C,5.77
YDR080W,17.8
YNL269W,0.19
YMR233W,19.5
YBR017C,85.1
YGR128C,198.0
YFL047W,34.8
YJL176C,46.6
YCR057C,110.0
YGR004W,11.9
YLL056C,44.0
YFL008W,70.9
YBR284W,4.78
YDR239C,17.9
YML109W,14.4
YDL033C,14.0
YGL042C,4.24
YOR386W,14.0
YHR014W,5.26
YLR446W,4.86
YMR133W,0.364
YLR381W,10.4
YNR012W,24.8
YHR080C,6.1
YHR084W,18.2
YJL011C,43.6
YHR119W,25.2
YLL059C,5.31
YDR421W,10.5
YBR208C,140.0
YOL050C,4.86
YGR238C,5.81
YLR002C,55.2
YGL251C,5.12
YIL151C,6.23
YGR092W,39.8
YJR062C,18.8
YBR028C,33.0
YPL166W,14.7
YCR047C,42.9
YHR058C,36.5
YMR113W,27.9
YKL064W,18.3
YML072C,290.0
YOR342C,24.7
YLR021W,8.32
YLR306W,13.4
YHR003C,104.0
YKR015C,5.68
YDL048C,12.4
YER054C,13.2
YOR340C,141.0
YNL196C,4.98
YDR138W,51.3
YML020W,27.6
YBR272C,26.9
YBR094W,43.7
YHR151C,6.24
YHR206W,14.9
YKL125W,5.07
YDR235W,18.1
YGR246C,23.4
YMR100W,0.22
YKL047W,44.4
YBR037C,27.1
YLR337C,33.0
YIL049W,5.73
YDR123C,7.95
YOR360C,36.1
YJR032W,42.9
YEL059W,0.188
YMR266W,140.0
YDR376W,24.8
YEL004W,5.77
YBR102C,35.6
YDR124W,42.0
YOR385W,11.5
YJR107W,5.19
YHR075C,6.35
YPL248C,7.09
YKR093W,41.5
YDR252W,23.1
YGR052W,10.7
YCL008C,2.43
YPR171W,12.5
YJL091C,24.3
YFR015C,74.0
YNL020C,16.8
YDR389W,28.5
YDR261C,12.6
YBL054W,16.1
YIL123W,12.0
YKR052C,20.0
YJL134W,7.91
YJL080C,950.0
YDR236C,14.5
YPL005W,13.3
YHL040C,8.9
YBR152W,27.8
YGR195W,49.3
YFR022W,5.01
YGR078C,136.0
YHL017W,52.9
YHR101C,12.4
YEL067C,1.29
YFL004W,476.0
YLR271W,13.0
YGR002C,28.3
YKL073W,62.7
YGR227W,5.45
YHR062C,48.1
YBR004C,0.27
YBR065C,18.8
YMR265C,4.91
YDL175C,19.6
YMR126C,7.02
YOR207C,65.2
YML051W,11.8
YHR068W,440.0
YMR313C,29.0
YLL048C,151.0
YMR047C,68.5
YPR109W,5.3
YEL047C,328.0
YLR403W,22.1
YHL038C,20.3
YIL097W,18.1
YBR157C,8.96
YLR127C,12.0
YHR032W,0.101
YGL038C,42.7
YDR524C,13.0
YDR205W,16.5
YER168C,76.3
YMR122C,5.12
YBR115C,505.0
YAR008W,8.31
YNL256W,43.0
YLR274W,52.4
YDR527W,41.7
YDR410C,24.7
YKR101W,5.53
YLR119W,6.98
YER059W,25.5
YGR149W,12.9
YKL095W,22.5
YEL050C,25.8
YJR021C,4.55
YNL010W,377.0
YCR059C,34.1
YLR146W-A,0.1
YPR029C,32.1
YOL102C,16.4
YCL045C,125.0
YLR090W,75.8
YPL229W,15.0
YLR042C,90.9
YML055W,72.1
YMR165C,35.0
YDR163W,15.8
YOR236W,48.1
YKL021C,59.0
YHR076W,66.9
YDR005C,23.2
YHR216W,133.0
YNL274C,61.9
YNL312W,661.0
YOL001W,9.87
YIL063C,111.0
YBR071W,15.0
YIL152W,4.89
YGR111W,23.5
YLR262C,99.7
YGR222W,13.0
YPR025C,46.3
YDR068W,58.4
YOL149W,58.9
YHR135C,55.7
YGL160W,7.04
YNL168C,62.9
YKL124W,2.87
YNL003C,17.4
YJL173C,84.7
YLR001C,19.7
YJR058C,12.2
YBR218C,498.0
YDR517W,85.5
YJL012C,215.0
YLR172C,66.8
YDR167W,35.1
YBR183W,4.15
YOL146W,9.26
YJL053W,32.1
YGR032W,162.0
YLR299W,13.6
YPL019C,173.0
YLR241W,4.57
YEL065W,16.7
YOR190W,4.31
YKR075C,18.4
YPR052C,176.0
YBL032W,145.0
YBR176W,34.2
YPR107C,30.8
YJR070C,464.0
YBR105C,66.1
YNL211C,9.34
YBR068C,256.0
YDR073W,13.9
YKL149C,13.0
YGR165W,40.7
YGL253W,3015.0
YHR050W,7.31
YPL096W,32.7
YKL054C,593.0
YGR058W,16.0
YBR233W-A,18.8
YDR161W,79.8
YNR010W,17.0
YOL097C,312.0
YDR279W,22.8
YHR192W,25.8
YPR169W,134.0
YDR234W,223.0
YER185W,6.98
YHR033W,14.1
YHR187W,57.7
YDR120C,148.0
YDR319C,10.1
YLR117C,16.0
YBL098W,31.3
YML116W,40.8
YKL134C,22.5
YHR191C,5.38
YBR253W,24.5
YPL221W,37.5
YLR285W,59.8
YGL098W,17.9
YLR007W,0.251
YNL331C,4.66
YIL106W,41.4
YIR003W,62.0
YNR015W,41.4
YPR033C,377.0
YBR006W,23.5
YML079W,64.7
YCR002C,97.5
YER090W,306.0
YLR178C,44.5
YGR295C,22.1
YJR009C,4357.0
YLR028C,354.0
YJL107C,12.5
YER145C,96.4
YER120W,193.0
YBR171W,237.0
YNL112W,509.0
YEL052W,44.6
YBR057C,23.7
YDR454C,763.0
YBR298C,4.38
YKL077W,128.0
YNL122C,14.5
YDR468C,2.92
YEL017C-A,578.0
YEL044W,29.3
YOR120W,80.4
YFR014C,28.1
YDL053C,120.0
YGL125W,44.1
YDL222C,22.2
YGL122C,202.0
YPR182W,59.6
YBR167C,21.3
YMR090W,91.0
YBR177C,112.0
YLL014W,27.4
YKL218C,7.79
YGR167W,179.0
YER069W,424.0
YIL153W,33.1
YMR304W,62.8
YMR302C,47.0
YBR181C,1368.0
YIL046W,6.85
YMR150C,5.62
YJR146W,11.2
YBL058W,124.0
YGR019W,85.5
YMR099C,256.0
YLR060W,537.0
YGL019W,81.0
YOL121C,1363.0
YNR032C-A,50.3
YLR168C,30.2
YKL190W,72.0
YNL016W,340.0
YJL019W,31.1
YEL037C,210.0
YHR025W,405.0
YLR104W,16.0
YBR263W,336.0
YPR134W,11.9
YPL234C,41.2
YIR034C,352.0
YOR045W,20.5
YCL043C,370.0
YJR010W,123.0
YDR483W,412.0
YDR320C-A,25.5
YPL048W,451.0
YDR487C,243.0
YKL094W,61.7
YGL011C,380.0
YBR010W,481.0
YOR220W,40.6
YDL131W,377.0
YDR071C,176.0
YGL076C,5053.0
YDL007W,49.5
YPL013C,28.4
YML078W,166.0
YKL181W,226.0
YPL098C,4.83
YDR148C,118.0
YBR058C-A,43.1
YPR041W,809.0
YLL018C,823.0
YAL030W,59.4
YPR103W,63.5
YER165W,1976.0
YKR057W,784.0
YLR354C,2592.0
YER057C,185.0
YBR286W,947.0
YDR086C,105.0
YOL127W,1908.0
YJR139C,975.0
YNL178W,1963.0
YBR149W,192.0
YCL057C-A,33.3
YGL205W,10.3
YLR150W,1375.0
YJR085C,23.8
YJR073C,70.8
YOR128C,174.0
YGR027C,1523.0
YLR044C,14380.0
YGR008C,123.0
YAR035W,11.6
YFL030W,33.9
YGR086C,661.0
YEL060C,94.4
YGL187C,195.0
YKL141W,19.9
YJR095W,23.3
YIL136W,277.0
